# Id,Predicted
0, 0.55
1, 0.15
2, 0.55
3, 0.31
4, 0.72
5, 0.08
6, 0.55
7, 0.31
8, 0.46
9, 0.17
10, 0.46
11, 0.55
12, 0.93
13, 0.55
14, 0.95
15, 1.00
16, 0.95
17, 0.55
18, 0.46
19, 0.58
20, 0.31
21, 0.72
22, 0.55
23, 0.55
24, 0.46
25, 0.46
26, 0.55
27, 0.55
28, 0.46
29, 0.46
30, 0.55
31, 0.46
32, 0.46
33, 0.31
34, 0.58
35, 0.45
36, 0.46
37, 0.46
38, 0.55
39, 0.81
40, 0.46
41, 0.31
42, 0.46
43, 0.25
44, 0.95
45, 0.46
46, 0.46
47, 0.15
48, 0.55
49, 0.58
50, 0.15
51, 0.15
52, 0.08
53, 0.55
54, 0.46
55, 0.55
56, 0.45
57, 0.31
58, 0.31
59, 0.46
60, 0.55
61, 0.58
62, 0.08
63, 0.97
64, 1.00
65, 0.31
66, 0.67
67, 0.46
68, 0.08
69, 0.46
70, 0.55
71, 1.00
72, 0.99
73, 0.47
74, 0.08
75, 0.21
76, 0.55
77, 0.46
78, 0.46
79, 0.15
80, 0.46
81, 0.51
82, 0.51
83, 1.00
84, 0.96
85, 0.98
86, 0.02
87, 0.46
88, 0.02
89, 0.93
90, 0.46
91, 0.95
92, 0.46
93, 0.51
94, 0.99
95, 0.46
96, 0.31
97, 0.46
98, 1.00
99, 0.31
100, 0.55
101, 0.46
102, 0.15
103, 0.84
104, 0.55
105, 0.02
106, 0.55
107, 0.45
108, 0.31
109, 0.58
110, 0.15
111, 0.46
112, 0.46
113, 0.46
114, 0.55
115, 0.55
116, 0.55
117, 0.46
118, 0.08
119, 0.58
120, 0.15
121, 0.72
122, 0.51
123, 0.45
124, 0.55
125, 0.08
126, 0.58
127, 0.55
128, 0.46
129, 0.95
130, 0.08
131, 0.98
132, 0.08
133, 0.02
134, 0.46
135, 0.46
136, 0.23
137, 0.23
138, 0.46
139, 0.58
140, 0.46
141, 0.46
142, 0.46
143, 1.00
144, 0.99
145, 0.45
146, 0.46
147, 0.46
148, 0.47
149, 0.23
150, 0.31
151, 1.00
152, 0.15
153, 0.23
154, 0.45
155, 0.67
156, 0.15
157, 0.55
158, 0.46
159, 0.47
160, 0.51
161, 0.46
162, 0.75
163, 0.08
164, 0.55
165, 0.02
166, 0.15
167, 0.55
168, 1.00
169, 0.31
170, 0.55
171, 0.47
172, 0.98
173, 0.67
174, 0.45
175, 0.55
176, 0.25
177, 0.08
178, 0.55
179, 0.47
180, 0.46
181, 0.46
182, 0.99
183, 0.55
184, 0.47
185, 0.46
186, 0.46
187, 0.23
188, 0.55
189, 0.46
190, 0.55
191, 0.55
192, 0.31
193, 0.46
194, 0.47
195, 0.15
196, 0.45
197, 0.91
198, 0.08
199, 0.15
200, 0.55
201, 0.55
202, 0.55
203, 0.45
204, 0.84
205, 0.46
206, 0.08
207, 0.47
208, 1.00
209, 0.46
210, 0.31
211, 0.46
212, 0.46
213, 0.55
214, 0.46
215, 0.46
216, 0.55
217, 0.55
218, 0.46
219, 0.01
220, 0.08
221, 0.46
222, 0.91
223, 0.08
224, 0.46
225, 0.46
226, 0.46
227, 0.95
228, 0.55
229, 0.46
230, 0.15
231, 0.15
232, 0.46
233, 0.55
234, 0.15
235, 0.15
236, 0.46
237, 0.15
238, 0.55
239, 0.31
240, 0.31
241, 0.86
242, 0.15
243, 0.08
244, 0.46
245, 0.45
246, 0.67
247, 0.58
248, 0.46
249, 0.08
250, 0.72
251, 0.31
252, 0.55
253, 0.15
254, 0.31
255, 0.55
256, 0.46
257, 0.46
258, 0.55
259, 0.46
260, 0.01
261, 0.15
262, 0.08
263, 1.00
264, 0.46
265, 0.46
266, 0.46
267, 0.55
268, 0.47
269, 0.46
270, 0.45
271, 0.21
272, 0.51
273, 0.45
274, 0.67
275, 0.67
276, 0.58
277, 0.15
278, 0.50
279, 0.55
280, 1.00
281, 0.67
282, 0.93
283, 0.46
284, 0.55
285, 0.67
286, 0.46
287, 0.55
288, 0.99
289, 0.46
290, 0.46
291, 0.55
292, 0.95
293, 0.47
294, 0.08
295, 0.25
296, 0.15
297, 0.55
298, 0.01
299, 0.45
300, 0.31
301, 0.02
302, 0.47
303, 0.45
304, 0.46
305, 0.96
306, 0.45
307, 0.58
308, 0.58
309, 0.46
310, 0.55
311, 0.15
312, 1.00
313, 0.55
314, 0.46
315, 0.46
316, 0.46
317, 0.58
318, 0.31
319, 0.08
320, 0.25
321, 1.00
322, 0.08
323, 0.15
324, 0.67
325, 0.72
326, 0.75
327, 0.46
328, 0.25
329, 0.46
330, 0.08
331, 0.46
332, 0.15
333, 0.15
334, 0.99
335, 0.55
336, 0.31
337, 0.46
338, 0.46
339, 0.55
340, 0.45
341, 0.55
342, 0.31
343, 0.08
344, 1.00
345, 0.45
346, 0.15
347, 0.31
348, 0.58
349, 0.58
350, 0.98
351, 0.31
352, 0.55
353, 0.67
354, 0.46
355, 0.31
356, 0.31
357, 0.15
358, 0.46
359, 0.31
360, 0.58
361, 0.46
362, 0.51
363, 0.12
364, 0.91
365, 0.46
366, 0.55
367, 0.97
368, 0.51
369, 0.15
370, 0.55
371, 0.95
372, 0.84
373, 0.58
374, 0.95
375, 0.84
376, 0.46
377, 0.46
378, 0.46
379, 0.55
380, 0.46
381, 0.08
382, 0.15
383, 0.46
384, 0.45
385, 0.55
386, 0.08
387, 0.46
388, 0.94
389, 0.15
390, 1.00
391, 0.46
392, 0.55
393, 0.45
394, 0.46
395, 0.46
396, 0.67
397, 0.15
398, 0.46
399, 0.98
400, 0.46
401, 0.67
402, 0.55
403, 0.46
404, 0.23
405, 0.55
406, 0.15
407, 0.51
408, 0.46
409, 0.55
410, 0.08
411, 0.65
412, 0.46
413, 0.45
414, 0.15
415, 0.55
416, 0.46
417, 1.00
418, 0.46
419, 0.58
420, 0.55
421, 0.67
422, 0.55
423, 0.21
424, 1.00
425, 0.55
426, 0.46
427, 0.84
428, 0.93
429, 0.15
430, 0.45
431, 0.21
432, 0.46
433, 0.15
434, 0.93
435, 0.55
436, 0.51
437, 0.46
438, 0.55
439, 0.15
440, 0.93
441, 0.31
442, 0.46
443, 0.55
444, 0.46
445, 0.55
446, 0.47
447, 0.15
448, 0.46
449, 0.90
450, 0.58
451, 0.15
452, 0.58
453, 0.25
454, 0.46
455, 0.46
456, 0.31
457, 0.46
458, 0.55
459, 0.46
460, 0.58
461, 0.46
462, 0.46
463, 0.93
464, 0.72
465, 0.93
466, 0.45
467, 0.12
468, 1.00
469, 0.45
470, 0.45
471, 0.45
472, 0.47
473, 0.45
474, 0.95
475, 0.94
476, 1.00
477, 0.46
478, 0.15
479, 0.31
480, 0.51
481, 0.06
482, 1.00
483, 0.46
484, 0.15
485, 0.67
486, 0.31
487, 0.93
488, 0.46
489, 0.55
490, 0.31
491, 0.15
492, 0.45
493, 0.46
494, 0.46
495, 0.46
496, 0.23
497, 0.55
498, 0.95
499, 0.84
500, 0.98
501, 0.31
502, 0.01
503, 0.55
504, 0.51
505, 1.00
506, 0.55
507, 1.00
508, 0.55
509, 0.31
510, 0.55
511, 0.46
512, 0.46
513, 0.31
514, 0.31
515, 0.55
516, 0.23
517, 0.98
518, 0.31
519, 0.46
520, 0.15
521, 0.46
522, 0.15
523, 0.31
524, 0.51
525, 0.47
526, 0.47
527, 0.55
528, 0.46
529, 0.31
530, 0.46
531, 0.47
532, 0.45
533, 0.55
534, 0.31
535, 0.55
536, 0.46
537, 0.47
538, 0.96
539, 0.15
540, 0.93
541, 0.47
542, 0.46
543, 0.93
544, 0.46
545, 0.47
546, 1.00
547, 0.45
548, 0.31
549, 0.31
550, 0.31
551, 0.25
552, 1.00
553, 0.15
554, 0.55
555, 0.46
556, 0.15
557, 1.00
558, 0.55
559, 0.75
560, 0.46
561, 0.25
562, 0.98
563, 1.00
564, 0.46
565, 0.98
566, 0.86
567, 0.95
568, 0.84
569, 1.00
570, 0.46
571, 0.02
572, 0.46
573, 0.08
574, 0.46
575, 0.55
576, 0.67
577, 0.97
578, 0.46
579, 0.96
580, 0.46
581, 0.55
582, 0.46
583, 0.46
584, 0.55
585, 0.46
586, 0.08
587, 0.46
588, 0.15
589, 0.23
590, 0.45
591, 0.67
592, 0.46
593, 1.00
594, 0.47
595, 0.99
596, 0.46
597, 0.46
598, 0.47
599, 0.55
600, 0.58
601, 1.00
602, 0.98
603, 0.31
604, 0.67
605, 0.08
606, 0.31
607, 0.08
608, 0.99
609, 0.91
610, 0.55
611, 0.46
612, 0.31
613, 0.55
614, 0.55
615, 0.45
616, 0.55
617, 0.46
618, 0.31
619, 0.15
620, 0.46
621, 0.46
622, 0.55
623, 0.46
624, 0.31
625, 0.31
626, 0.55
627, 1.00
628, 0.46
629, 0.55
630, 0.46
631, 0.31
632, 0.15
633, 0.46
634, 0.95
635, 0.55
636, 1.00
637, 0.46
638, 0.47
639, 0.55
640, 0.58
641, 0.46
642, 0.46
643, 0.55
644, 0.67
645, 0.46
646, 0.46
647, 0.55
648, 1.00
649, 0.46
650, 0.55
651, 0.46
652, 0.98
653, 0.67
654, 0.95
655, 0.31
656, 0.46
657, 0.46
658, 0.15
659, 0.51
660, 1.00
661, 0.46
662, 0.55
663, 0.47
664, 0.46
665, 0.47
666, 0.45
667, 0.93
668, 0.55
669, 0.99
670, 0.84
671, 0.55
672, 1.00
673, 0.67
674, 0.31
675, 0.93
676, 0.15
677, 0.15
678, 0.08
679, 0.55
680, 1.00
681, 0.99
682, 0.46
683, 0.31
684, 0.86
685, 0.46
686, 0.46
687, 0.55
688, 0.31
689, 0.15
690, 0.91
691, 0.21
692, 0.55
693, 0.31
694, 0.67
695, 0.45
696, 0.55
697, 0.45
698, 0.47
699, 0.55
700, 0.51
701, 0.31
702, 0.46
703, 0.55
704, 0.46
705, 0.46
706, 0.31
707, 0.23
708, 0.31
709, 0.08
710, 0.93
711, 0.55
712, 0.55
713, 0.55
714, 0.45
715, 0.31
716, 0.15
717, 0.31
718, 0.46
719, 0.46
720, 0.08
721, 0.58
722, 0.08
723, 0.46
724, 0.31
725, 0.46
726, 0.55
727, 0.55
728, 0.55
729, 0.31
730, 0.31
731, 0.15
732, 0.55
733, 1.00
734, 0.15
735, 0.45
736, 0.46
737, 0.08
738, 0.55
739, 0.46
740, 0.55
741, 0.15
742, 0.55
743, 0.23
744, 0.99
745, 0.31
746, 0.31
747, 0.55
748, 0.15
749, 0.97
750, 0.46
751, 0.46
752, 0.20
753, 0.93
754, 0.55
755, 0.55
756, 0.51
757, 0.55
758, 0.15
759, 0.46
760, 0.08
761, 0.58
762, 0.47
763, 0.31
764, 0.47
765, 0.08
766, 0.91
767, 0.31
768, 0.15
769, 0.46
770, 0.84
771, 0.55
772, 0.45
773, 0.45
774, 0.55
775, 0.51
776, 0.55
777, 0.46
778, 0.84
779, 0.46
780, 0.45
781, 0.12
782, 0.17
783, 0.47
784, 0.55
785, 0.51
786, 0.31
787, 0.31
788, 1.00
789, 0.15
790, 0.15
791, 0.75
792, 0.45
793, 0.23
794, 0.45
795, 0.96
796, 0.01
797, 0.45
798, 0.51
799, 1.00
800, 0.46
801, 0.58
802, 0.55
803, 0.93
804, 0.55
805, 0.55
806, 0.91
807, 0.46
808, 0.15
809, 0.03
810, 0.55
811, 0.84
812, 0.95
813, 0.15
