# Id,Predicted
0, 0.40
1, 0.35
2, 0.53
3, 0.26
4, 0.95
5, 0.22
6, 0.57
7, 0.27
8, 0.61
9, 0.69
10, 0.43
11, 0.56
12, 0.49
13, 0.61
14, 0.79
15, 1.00
16, 0.72
17, 0.53
18, 0.44
19, 0.42
20, 0.44
21, 0.73
22, 0.64
23, 0.60
24, 0.51
25, 0.48
26, 0.48
27, 0.49
28, 0.47
29, 0.46
30, 0.39
31, 0.45
32, 0.46
33, 0.21
34, 0.60
35, 0.50
36, 0.46
37, 0.44
38, 0.42
39, 0.94
40, 0.56
41, 0.33
42, 0.62
43, 0.41
44, 0.82
45, 0.43
46, 0.44
47, 0.08
48, 0.46
49, 0.40
50, 0.22
51, 0.15
52, 0.18
53, 0.47
54, 0.61
55, 0.63
56, 0.42
57, 0.21
58, 0.15
59, 0.61
60, 0.58
61, 0.49
62, 0.18
63, 0.87
64, 0.97
65, 0.39
66, 0.72
67, 0.44
68, 0.13
69, 0.59
70, 0.62
71, 0.99
72, 0.79
73, 0.51
74, 0.06
75, 0.61
76, 0.60
77, 0.45
78, 0.30
79, 0.10
80, 0.53
81, 0.52
82, 0.29
83, 0.96
84, 0.67
85, 0.73
86, 0.59
87, 0.46
88, 0.49
89, 0.98
90, 0.58
91, 0.95
92, 0.58
93, 0.55
94, 0.97
95, 0.49
96, 0.28
97, 0.26
98, 0.99
99, 0.41
100, 0.63
101, 0.42
102, 0.04
103, 0.62
104, 0.60
105, 0.14
106, 0.49
107, 0.60
108, 0.37
109, 0.64
110, 0.30
111, 0.57
112, 0.35
113, 0.55
114, 0.57
115, 0.41
116, 0.62
117, 0.50
118, 0.27
119, 0.55
120, 0.23
121, 0.71
122, 0.45
123, 0.35
124, 0.49
125, 0.13
126, 0.69
127, 0.48
128, 0.61
129, 0.51
130, 0.12
131, 0.82
132, 0.25
133, 0.37
134, 0.44
135, 0.64
136, 0.42
137, 0.27
138, 0.69
139, 0.63
140, 0.60
141, 0.48
142, 0.57
143, 0.97
144, 0.95
145, 0.64
146, 0.59
147, 0.53
148, 0.59
149, 0.30
150, 0.34
151, 0.98
152, 0.41
153, 0.24
154, 0.51
155, 0.57
156, 0.31
157, 0.60
158, 0.41
159, 0.28
160, 0.61
161, 0.58
162, 0.69
163, 0.11
164, 0.65
165, 0.78
166, 0.28
167, 0.43
168, 0.95
169, 0.33
170, 0.50
171, 0.54
172, 0.64
173, 0.48
174, 0.37
175, 0.54
176, 0.36
177, 0.17
178, 0.52
179, 0.48
180, 0.48
181, 0.30
182, 0.91
183, 0.49
184, 0.23
185, 0.54
186, 0.55
187, 0.39
188, 0.65
189, 0.44
190, 0.75
191, 0.43
192, 0.51
193, 0.58
194, 0.20
195, 0.29
196, 0.58
197, 0.51
198, 0.10
199, 0.19
200, 0.50
201, 0.45
202, 0.54
203, 0.35
204, 0.77
205, 0.29
206, 0.29
207, 0.36
208, 0.95
209, 0.60
210, 0.32
211, 0.46
212, 0.38
213, 0.39
214, 0.36
215, 0.42
216, 0.65
217, 0.44
218, 0.42
219, 0.12
220, 0.14
221, 0.36
222, 0.17
223, 0.20
224, 0.36
225, 0.56
226, 0.37
227, 0.61
228, 0.54
229, 0.53
230, 0.16
231, 0.10
232, 0.46
233, 0.13
234, 0.32
235, 0.13
236, 0.58
237, 0.22
238, 0.53
239, 0.28
240, 0.46
241, 0.64
242, 0.17
243, 0.21
244, 0.34
245, 0.34
246, 0.58
247, 0.58
248, 0.55
249, 0.10
250, 0.85
251, 0.50
252, 0.39
253, 0.10
254, 0.42
255, 0.52
256, 0.39
257, 0.55
258, 0.73
259, 0.27
260, 0.12
261, 0.10
262, 0.11
263, 0.91
264, 0.39
265, 0.49
266, 0.55
267, 0.68
268, 0.49
269, 0.75
270, 0.68
271, 0.50
272, 0.62
273, 0.49
274, 0.67
275, 0.59
276, 0.55
277, 0.23
278, 0.71
279, 0.33
280, 0.92
281, 0.81
282, 0.93
283, 0.32
284, 0.63
285, 0.55
286, 0.44
287, 0.70
288, 0.98
289, 0.31
290, 0.49
291, 0.42
292, 0.75
293, 0.35
294, 0.32
295, 0.57
296, 0.24
297, 0.48
298, 0.25
299, 0.33
300, 0.45
301, 0.52
302, 0.47
303, 0.58
304, 0.34
305, 0.52
306, 0.45
307, 0.62
308, 0.46
309, 0.38
310, 0.39
311, 0.14
